0n ; dt ; camera_timer ; diff
1;0.651331901550293;0.651331901550293;0.0
2;0.3499875068664551;1.001319408416748;0.651331901550293
3;0.5797867774963379;1.581106185913086;1.001319408416748
4;0.33097362518310547;0.33097362518310547;0.0
5;0.2795286178588867;0.2795286178588867;0.0
6;0.25452756881713867;0.25452756881713867;0.0
7;0.20706510543823242;0.20706510543823242;0.0
8;0.2046494483947754;0.2046494483947754;0.0
9;0.2023625373840332;0.2023625373840332;0.0
10;0.20180559158325195;0.20180559158325195;0.0
11;0.20099115371704102;0.20099115371704102;0.0
12;0.20340776443481445;0.20340776443481445;0.0
13;0.2021465301513672;0.2021465301513672;0.0
14;0.2013692855834961;0.2013692855834961;0.0
15;0.2021794319152832;0.2021794319152832;0.0
16;0.2071514129638672;0.2071514129638672;0.0
17;0.21077775955200195;0.21077775955200195;0.0
18;0.21030807495117188;0.21030807495117188;0.0
18;0.20310020446777344;0.20310020446777344;0.0
18;0.20587921142578125;0.20587921142578125;0.0
18;0.20470905303955078;0.20470905303955078;0.0
18;0.2039318084716797;0.2039318084716797;0.0
18;0.20228338241577148;0.20228338241577148;0.0
18;0.2055978775024414;0.2055978775024414;0.0
18;0.20851564407348633;0.20851564407348633;0.0
18;0.2043476104736328;0.2043476104736328;0.0
19;0.20609760284423828;0.20609760284423828;0.0
20;0.20830821990966797;0.20830821990966797;0.0
21;0.2082505226135254;0.2082505226135254;0.0
22;0.20159482955932617;0.20159482955932617;0.0
23;0.23813772201538086;0.23813772201538086;0.0
23;0.21294498443603516;0.21294498443603516;0.0
24;0.20250749588012695;0.20250749588012695;0.0
25;0.21050643920898438;0.21050643920898438;0.0
26;0.24025487899780273;0.24025487899780273;0.0
27;0.23190736770629883;0.23190736770629883;0.0
28;0.21983718872070312;0.21983718872070312;0.0
29;0.20952415466308594;0.20952415466308594;0.0
30;0.2225637435913086;0.2225637435913086;0.0
30;0.2553892135620117;0.2553892135620117;0.0
30;0.29706335067749023;0.29706335067749023;0.0
30;0.2520112991333008;0.2520112991333008;0.0
30;0.2167348861694336;0.2167348861694336;0.0
30;0.261507511138916;0.261507511138916;0.0
31;0.2432541847229004;0.2432541847229004;0.0
31;0.23523473739624023;0.23523473739624023;0.0
31;0.239013671875;0.239013671875;0.0
31;0.21254587173461914;0.21254587173461914;0.0
31;0.20156240463256836;0.20156240463256836;0.0
31;0.20064115524291992;0.20064115524291992;0.0
31;0.21930646896362305;0.21930646896362305;0.0
31;0.20408010482788086;0.20408010482788086;0.0
31;0.20418596267700195;0.20418596267700195;0.0
31;0.20186090469360352;0.20186090469360352;0.0
